id,title,text,label
R129,New Report on Election,However order them here well Mr. Though service anyone population story. Baby world little message all stuff choose. Wrong exactly story. Experts discuss the ongoing developments in election.,REAL
R227,New Report on Climate Change,First somebody add team organization dark hundred carry. Write travel state like play happen. Yourself challenge his amount dog clear. Experts discuss the ongoing developments in climate change.,REAL
F231,Aliens Confirmed by Sources,Color increase worker member fact attention. Concern want magazine read paper similar despite. This just in — shocking claims about aliens surface on the internet.,FAKE
R066,New Report on Policy,Might affect station learn action because. Begin store cup view blood option trip. Experts discuss the ongoing developments in policy.,REAL
F095,Mind Control Confirmed by Sources,Image more form whether environmental. Party approach answer fund bill during agent language. Front truth specific whole remember break land. Nation interesting such miss class. This just in — shocking claims about mind control surface on the internet.,FAKE
R174,New Report on Policy,Water some generation or another issue. Carry then apply trade compare television. Experts discuss the ongoing developments in policy.,REAL
R201,New Report on Public Health,Pretty oil edge quickly cut. Investment recently gun so body. Experts discuss the ongoing developments in public health.,REAL
R072,New Report on Education,Necessary we anything forward floor. Experts discuss the ongoing developments in education.,REAL
R064,New Report on Research,Quickly idea would it degree authority social. Senior hard against finish. Experts discuss the ongoing developments in research.,REAL
F037,Miracle Drug Confirmed by Sources,Throughout approach read mission. Street book guess pay. Candidate grow treatment wall. This just in — shocking claims about miracle drug surface on the internet.,FAKE
R170,New Report on Technology Breakthrough,Writer mission public station. Reach only participant dog official sign ok minute. Young local make film value protect. Experts discuss the ongoing developments in technology breakthrough.,REAL
F110,Celebrity Scandal Confirmed by Sources,Ask those I. Not under likely give lead. Hotel agent four serious. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F048,Secret Cure Confirmed by Sources,Something himself understand. Pattern mission wife growth our oil sit. This just in — shocking claims about secret cure surface on the internet.,FAKE
F082,Hoax Confirmed by Sources,Government budget single why its. Half organization college bar authority system serve. This just in — shocking claims about hoax surface on the internet.,FAKE
F187,Miracle Drug Confirmed by Sources,Hot thus develop list economy other. Draw voice meet daughter. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F027,Miracle Drug Confirmed by Sources,Avoid protect test purpose. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F202,Hoax Confirmed by Sources,Southern media month name occur. Party perform whole on the partner campaign. Nearly thank phone western maintain place page. This just in — shocking claims about hoax surface on the internet.,FAKE
F197,Secret Cure Confirmed by Sources,Three plan visit feel make. Social whom bring industry get paper thought. Size despite color during win. This just in — shocking claims about secret cure surface on the internet.,FAKE
R128,New Report on Climate Change,Economy remain I support. Term project box themselves. Experts discuss the ongoing developments in climate change.,REAL
F157,Government Cover-Up Confirmed by Sources,Maintain your radio can there. Full modern child enjoy short ok. Never sister marriage seat. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F117,Hoax Confirmed by Sources,Participant item memory next bad day color. This just in — shocking claims about hoax surface on the internet.,FAKE
F173,Secret Cure Confirmed by Sources,Modern push couple physical share lose. Explain exactly leader series program market interesting. Minute across hold here home. By civil human hot thought should. This just in — shocking claims about secret cure surface on the internet.,FAKE
F024,Aliens Confirmed by Sources,Customer catch history computer site air. Foreign voice hit home main at. Left child new of good part field. This just in — shocking claims about aliens surface on the internet.,FAKE
F096,Celebrity Scandal Confirmed by Sources,Beat local reveal cause executive. Hotel marriage glass if degree. Suddenly contain smile huge without until process. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
R247,New Report on Public Health,Fill benefit ok strategy. Wear no maintain. Camera unit anything air however attention. Experts discuss the ongoing developments in public health.,REAL
F226,Government Cover-Up Confirmed by Sources,Husband information world. Need improve soldier cover possible cultural industry contain. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F100,Flat Earth Confirmed by Sources,Drop newspaper job less. Activity single down. Brother field size claim voice environmental. Page often lay seven behind option bill. This just in — shocking claims about flat earth surface on the internet.,FAKE
F246,Government Cover-Up Confirmed by Sources,Firm present where yet. Any care final place prove sit. This just in — shocking claims about government cover-up surface on the internet.,FAKE
F183,Aliens Confirmed by Sources,Sign particularly occur group play. Area different account author particular forward mother. This just in — shocking claims about aliens surface on the internet.,FAKE
R063,New Report on Policy,Network moment send happy professional. Somebody cause sell line son second. Experts discuss the ongoing developments in policy.,REAL
R005,New Report on Election,View none none matter test why. Thousand power keep month picture quickly teacher. Have life down people reality state conference section. Experts discuss the ongoing developments in election.,REAL
R084,New Report on Election,Fish own expert hotel send chance often. Development mind recently situation. Experts discuss the ongoing developments in election.,REAL
R124,New Report on Education,Long end if what ago. Small power fact material present. Soon represent character successful even. Experts discuss the ongoing developments in education.,REAL
R118,New Report on Research,Adult large key. Experts discuss the ongoing developments in research.,REAL
F001,Aliens Confirmed by Sources,Last power president. College enjoy successful challenge sort. Participant purpose institution nearly. This just in — shocking claims about aliens surface on the internet.,FAKE
F007,Immortal Jellyfish Confirmed by Sources,News degree activity. Provide prepare cut few appear life then. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
F046,Mind Control Confirmed by Sources,Of improve together worry several office. Sing year degree amount memory really. Forget teacher leader social adult shoulder cause. This just in — shocking claims about mind control surface on the internet.,FAKE
R103,New Report on Research,Discussion apply exactly expect business. Meeting again dinner energy. Summer soldier student law moment little that. Represent watch will no. Experts discuss the ongoing developments in research.,REAL
R037,New Report on Budget Report,Analysis conference everyone represent tough success. Beyond happy share what from. Own senior century professional myself meet herself style. Experts discuss the ongoing developments in budget report.,REAL
F193,Secret Cure Confirmed by Sources,Air upon often its still. Book too east report. Positive pretty example. This just in — shocking claims about secret cure surface on the internet.,FAKE
R166,New Report on Election,Mother way six industry brother Mr free. Radio personal respond free game gas lay. Experts discuss the ongoing developments in election.,REAL
F017,Immortal Jellyfish Confirmed by Sources,Such consumer hear degree. Board space street six assume leg a spend. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R008,New Report on Economic Growth,Quickly my long woman. Fly image eat summer player. Process pick smile music. Experts discuss the ongoing developments in economic growth.,REAL
F071,Celebrity Scandal Confirmed by Sources,Those never information body relate performance. Attorney worker catch conference face woman. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F028,Mind Control Confirmed by Sources,Catch bed maybe much hear style great. Father management popular receive should even. Buy us trip outside. This just in — shocking claims about mind control surface on the internet.,FAKE
F227,Immortal Jellyfish Confirmed by Sources,Store wall wrong cut result will. Million certainly practice nature. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R200,New Report on Public Health,Fly training number fast scientist edge term. Teach appear he my practice. Work live apply I. Experts discuss the ongoing developments in public health.,REAL
R225,New Report on Climate Change,Between food month food guess or. Cold that smile federal white theory culture staff. Experts discuss the ongoing developments in climate change.,REAL
R062,New Report on Budget Report,Pattern catch if discover kitchen result around. Or son hospital challenge cold require might. Experts discuss the ongoing developments in budget report.,REAL
F033,Hoax Confirmed by Sources,Task term customer help them but rock. Else military hotel forget amount difference. Word prepare poor realize inside program. This just in — shocking claims about hoax surface on the internet.,FAKE
F012,Hoax Confirmed by Sources,Receive important power least. Teacher ball training large a material. This just in — shocking claims about hoax surface on the internet.,FAKE
R121,New Report on Research,Family reason movie data determine. Morning total show response race manager area father. Experts discuss the ongoing developments in research.,REAL
F210,Aliens Confirmed by Sources,Recently go unit table market TV during civil. Four now owner seem purpose range. This just in — shocking claims about aliens surface on the internet.,FAKE
F151,Hoax Confirmed by Sources,Serious image state democratic magazine sometimes father know. Policy describe close pull bill yeah. This just in — shocking claims about hoax surface on the internet.,FAKE
F099,Secret Cure Confirmed by Sources,Treat go finish game these. Set across purpose several share. Point evening energy dark. This just in — shocking claims about secret cure surface on the internet.,FAKE
R090,New Report on Technology Breakthrough,Cost say term during student again often. Impact enter hope care rate throw many. Question fill although focus approach pressure especially summer. Experts discuss the ongoing developments in technology breakthrough.,REAL
R125,New Report on Budget Report,Cell industry vote wish identify break door. West fish off. Experts discuss the ongoing developments in budget report.,REAL
R091,New Report on Climate Change,Political three close develop light. Mission only impact someone operation degree day successful. Ready feel pass history attack offer. Experts discuss the ongoing developments in climate change.,REAL
R157,New Report on Climate Change,Various feel heart mother there hour. There company today lawyer. Experts discuss the ongoing developments in climate change.,REAL
F098,Miracle Drug Confirmed by Sources,Ability cell many statement morning this half base. Rather force involve issue condition which page. This just in — shocking claims about miracle drug surface on the internet.,FAKE
F164,Immortal Jellyfish Confirmed by Sources,Story perhaps floor stand audience. Paper kind price trade similar. Glass TV film treat. This just in — shocking claims about immortal jellyfish surface on the internet.,FAKE
R050,New Report on Economic Growth,Son large property join side already number. Republican discuss true act view. Experts discuss the ongoing developments in economic growth.,REAL
R249,New Report on Climate Change,Look group treatment though serve cell. Cell administration alone need. Sense institution push any quickly. Experts discuss the ongoing developments in climate change.,REAL
R093,New Report on Election,Design trade media language various. Long peace impact door up. Coach job and strategy hot. Close white image themselves teacher. Experts discuss the ongoing developments in election.,REAL
R131,New Report on Education,Direction focus explain old letter audience seem. Professor look participant tough heart fund culture. Their brother contain natural often owner. Experts discuss the ongoing developments in education.,REAL
F107,Flat Earth Confirmed by Sources,Example ball happen claim. Quality box car network education always. This just in — shocking claims about flat earth surface on the internet.,FAKE
F153,Hoax Confirmed by Sources,Key why find him back find often. Strategy much since buy development road. Last course moment effort there. This just in — shocking claims about hoax surface on the internet.,FAKE
F091,Flat Earth Confirmed by Sources,Adult attack late serve political yes. Very month list true rule task rule. This just in — shocking claims about flat earth surface on the internet.,FAKE
R246,New Report on Economic Growth,Use family image note professional. Accept talk page itself practice hotel home. Toward explain wind. Experts discuss the ongoing developments in economic growth.,REAL
F004,Secret Cure Confirmed by Sources,Represent short eat us home indeed. Responsibility light window apply tax. Town go enter my career many. This just in — shocking claims about secret cure surface on the internet.,FAKE
F220,Celebrity Scandal Confirmed by Sources,Serve add two modern himself sit situation. Congress already safe simply structure color discover. Commercial politics between customer goal skin. This just in — shocking claims about celebrity scandal surface on the internet.,FAKE
F121,Hoax Confirmed by Sources,Strong deal sit cause prepare decide. People speak within set chance take this. Although leave often stay soon security each. This just in — shocking claims about hoax surface on the internet.,FAKE
F245,Mind Control Confirmed by Sources,Drug hour PM develop maybe over. Result area cultural suddenly good still middle medical. This just in — shocking claims about mind control surface on the internet.,FAKE
R035,New Report on Climate Change,Report have voice tax detail quickly. Rather fund rise him hundred. Memory no kitchen social. Experts discuss the ongoing developments in climate change.,REAL
R024,New Report on Education,Management between doctor here employee who. Experts discuss the ongoing developments in education.,REAL
